DDI-MedLine.d78.s1|DDI-MedLine.d78.s1.e0|DDI-MedLine.d78.s1.e1|0|null
DDI-MedLine.d78.s2|DDI-MedLine.d78.s2.e0|DDI-MedLine.d78.s2.e1|0|null
DDI-MedLine.d78.s2|DDI-MedLine.d78.s2.e0|DDI-MedLine.d78.s2.e2|0|null
DDI-MedLine.d78.s2|DDI-MedLine.d78.s2.e0|DDI-MedLine.d78.s2.e3|0|null
DDI-MedLine.d78.s2|DDI-MedLine.d78.s2.e0|DDI-MedLine.d78.s2.e4|0|null
DDI-MedLine.d78.s2|DDI-MedLine.d78.s2.e1|DDI-MedLine.d78.s2.e2|0|null
DDI-MedLine.d78.s2|DDI-MedLine.d78.s2.e1|DDI-MedLine.d78.s2.e3|0|null
DDI-MedLine.d78.s2|DDI-MedLine.d78.s2.e1|DDI-MedLine.d78.s2.e4|0|null
DDI-MedLine.d78.s2|DDI-MedLine.d78.s2.e2|DDI-MedLine.d78.s2.e3|0|null
DDI-MedLine.d78.s2|DDI-MedLine.d78.s2.e2|DDI-MedLine.d78.s2.e4|0|null
DDI-MedLine.d78.s2|DDI-MedLine.d78.s2.e3|DDI-MedLine.d78.s2.e4|0|null
DDI-MedLine.d78.s3|DDI-MedLine.d78.s3.e0|DDI-MedLine.d78.s3.e1|0|null
DDI-MedLine.d127.s6|DDI-MedLine.d127.s6.e0|DDI-MedLine.d127.s6.e1|0|null
DDI-MedLine.d135.s0|DDI-MedLine.d135.s0.e0|DDI-MedLine.d135.s0.e1|0|null
DDI-MedLine.d135.s1|DDI-MedLine.d135.s1.e0|DDI-MedLine.d135.s1.e1|0|null
DDI-MedLine.d135.s3|DDI-MedLine.d135.s3.e0|DDI-MedLine.d135.s3.e1|0|null
DDI-MedLine.d135.s3|DDI-MedLine.d135.s3.e0|DDI-MedLine.d135.s3.e2|0|null
DDI-MedLine.d135.s3|DDI-MedLine.d135.s3.e1|DDI-MedLine.d135.s3.e2|0|null
DDI-MedLine.d135.s4|DDI-MedLine.d135.s4.e0|DDI-MedLine.d135.s4.e1|0|null
DDI-MedLine.d135.s5|DDI-MedLine.d135.s5.e0|DDI-MedLine.d135.s5.e1|0|null
DDI-MedLine.d135.s6|DDI-MedLine.d135.s6.e0|DDI-MedLine.d135.s6.e1|0|null
DDI-MedLine.d135.s8|DDI-MedLine.d135.s8.e0|DDI-MedLine.d135.s8.e1|0|null
DDI-MedLine.d36.s0|DDI-MedLine.d36.s0.e0|DDI-MedLine.d36.s0.e1|0|null
DDI-MedLine.d36.s2|DDI-MedLine.d36.s2.e0|DDI-MedLine.d36.s2.e1|0|null
DDI-MedLine.d36.s2|DDI-MedLine.d36.s2.e0|DDI-MedLine.d36.s2.e2|0|null
DDI-MedLine.d36.s2|DDI-MedLine.d36.s2.e0|DDI-MedLine.d36.s2.e3|0|null
DDI-MedLine.d36.s2|DDI-MedLine.d36.s2.e1|DDI-MedLine.d36.s2.e2|0|null
DDI-MedLine.d36.s2|DDI-MedLine.d36.s2.e1|DDI-MedLine.d36.s2.e3|0|null
DDI-MedLine.d36.s2|DDI-MedLine.d36.s2.e2|DDI-MedLine.d36.s2.e3|0|null
